"Time","ASMR","Airport CEO","Alien: Isolation","Clash Royale","Dale & Dawson Stationery Supplies","Dead End Exit 8","Dead by Daylight","Dofus","ELDEN RING","FTL: Faster Than Light","Five Nights at Freddy's","Fortnite","Genshin Impact","Golf It!","Grand Theft Auto V","Harry Potter and the Sorcerer's Stone","Haunted Castle","Hearthstone","Hollow Knight","I'm Only Sleeping","IRL","Just Chatting","League of Legends","Maitre des Fleurs","Minecraft","NBA 2K25","Offline","Online","Outlast","Platform 8","Pokémon FireRed/LeafGreen","Pokémon GO","Pokémon HeartGold/SoulSilver","Pokémon Scarlet/Violet","PowerWash Simulator","Rocket League","Selaco","Special Agent","Special Events","Star Citizen","Street Fighter 6","Super Smash Bros. Ultimate","TEKKEN 8","Talk Shows & Podcasts","Teamfight Tactics","That's Not My Neighbor","The Legend of Zelda: Ocarina of Time","The Legend of Zelda: The Wind Waker","The Mortuary Assistant","Trackmania","VALORANT","Voices of the Void","Warhammer 40","World of Warcraft","World of Warships"
2024-09-07 01:55:00,,,,,,,,,,,,,,,,,,,,,,1018,,,,,0,,658,,,287,703,,,,,,201665,209,,,,,,,,,217,,,,,621,
2024-09-07 02:00:00,,,,,,,,,,,,,,,,,,,,,,1124,,,,,0,,669,,,310,691,,,,,,192323,,,,,,,,,,204,,,,,625,
2024-09-07 02:05:00,,,,,,,,,,,,,,,,,,,,,,1092,,,,,0,,641,,,315,691,,,,,,189481,,,,,,,,,,200,,,,,547,
2024-09-07 02:10:00,,,,,,,,,,,,,,,,,,633,,,,1051,,,,,0,,641,,,254,671,,,,,,183656,,,,,,,,,,194,,,,,525,
2024-09-07 02:15:00,,,,,,,,,,,,,,,,,,626,,,,1130,,,,,0,,,,,268,656,,,,,,181665,,,,,,,,,,197,,,,,,
2024-09-07 02:20:00,,,,,,,,,,,,,,,,,,612,,,,1057,,,,,0,,,,,265,642,,,,,,176402,,,,,,,,,,199,,,,,,
2024-09-07 02:25:00,,,,,,,,,,,,,,,,,,623,,,,1078,,,,,0,,,,,288,631,,,,,,176621,,,,,,,,,,189,,,,,,
2024-09-07 02:30:00,,,,,,,,,,,,,,,,,,635,,,,823,,,,,0,,,,,217,623,,,,,,173398,,,,,,,,,,187,,,,,,
2024-09-07 02:35:00,,,,,,,,,,,,,,,,,,721,,,,919,,,,,0,,,,,220,611,,,,,,164171,,,,,,,,,,194,,,,,,
2024-09-07 02:40:00,,,,,,,,,,,,,,,,,,693,,,,950,2391,,,,0,,,,,,627,,,,,,158158,,,,,,,,,,174,,,,,,
2024-09-07 02:45:00,,,,,,,,,,,,,,,,,,721,,,,993,2470,,,,0,,,,,,617,,,,,,150850,,,,,,,,,,164,,,,,,
2024-09-07 02:50:00,,,,,,,,,,,,,,,,,,750,,,,954,2338,,,,0,,,,,,599,,,,,,148599,,,,,,,,,,162,,,,,,
2024-09-07 02:55:00,,,,,,,,,,,,,,,,,,634,,,,980,2276,,,,0,,,,,,587,,,,,,145018,,,,,,,,,,164,,,,,,
2024-09-07 03:00:00,,,,,,,,,,,,,,,,,,564,,,,956,2132,,,,0,,,,,,566,,,,,,143769,,,,,,,,,,156,,,,,,
2024-09-07 03:05:00,,,,,,,,,,,,,,,,,944,464,,,,944,2061,,,,0,,,,,,566,,,,,,141225,,,,,,,,,,159,,,,,,
2024-09-07 03:10:00,,,,,,,,,,,,,,,,,802,510,,,,,1804,,,,0,,,,,,573,,,,,,138391,,,,,,,,,,157,,,,,,
2024-09-07 03:15:00,,,,,,,,,,,,,,,,,773,519,,,,,,,,,0,,,,,,566,,,,,,137401,,,,,,,,,,153,,,,,,
2024-09-07 03:20:00,,,,,,,,,,,,,,,,,814,509,,,,,,,,,0,,,,,,552,,,,,,137134,,,,,,,,,,151,,,,,,
2024-09-07 03:25:00,,,,,,,,,,,,,,,,,790,503,,,,,,,,,0,,,,,,552,,,,,,134312,,,,,,,,,,149,,,,,,
2024-09-07 03:30:00,,,,,,,,,,,,,,,,,779,503,,,,,,,,,0,,,,,,558,,,,,,127644,,,,,,,,,,146,,,,,,
